path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135
4 (1).jpg,0.005582472610279815,0.2614843900533693,8.51626591231802,672115752.9997513,5334253.000000104,0.005582472610279815,0.8864915157353254,0.00451915949690593,0.2311162657059946,8.710202829707043,672115753.0001138,5334252.999998641,0.00451915949690593,0.7970140433804563,0.00566371571453113,0.26775115580349473,8.487684700337907,672115753.0000036,5334253.000000553,0.00566371571453113,0.8939376224966548,0.004609036659326585,0.2344830931877041,8.674875304186688,672115753.0001187,5334252.999998646,0.004609036659326585,0.8214084834216395
4 (10).jpg,0.00035984756246054743,0.23192650467609124,9.123769272087708,715816961.000107,5592320.999999926,0.00035984756246054743,0.8025863957093323,0.00029386457918962456,0.20419618657600846,9.317150512170354,715816961.0000646,5592321.000000909,0.00029386457918962456,0.6558537376678785,0.0003831599824966158,0.24387009294676407,9.100112127035034,715816961.0001131,5592321.000000531,0.0003831599824966158,0.7899456795230929,0.00029355524615322365,0.20410442743874713,9.307832755574816,715816961.0000694,5592321.000000888,0.00029355524615322365,0.6714397326634917
4 (2).jpg,0.002967994905262729,0.3042248347860826,8.29729006431909,715816961.0000108,5592321.000000515,0.002967994905262729,0.8804722909675727,0.00247680960740246,0.2762445918040242,8.47241005812588,715816960.9998868,5592320.999998459,0.00247680960740246,0.8031645086265654,0.003981868182030312,0.33296230962060963,8.22022606456155,715816960.9999217,5592321.000000523,0.003981868182030312,0.8895615255201564,0.002560249161455,0.2805528537220107,8.457642027508703,715816960.9998771,5592320.99999835,0.002560249161455,0.8051325050079927
4 (3).jpg,9.395558726177478e-05,0.1305392717507741,9.636730359468247,630446752.99998,5084248.999998315,9.395558726177478e-05,0.7948047445359956,7.581104135484627e-05,0.10923053357586264,9.83924269488896,630446752.9997535,5084248.999999251,7.581104135484627e-05,0.6370451185892352,9.221905559099161e-05,0.12856104535922125,9.65739067495823,630446752.9999821,5084249.000000199,9.221905559099161e-05,0.7830741728399526,7.735436112036418e-05,0.1120244487182451,9.803599576025505,630446752.9997637,5084248.999999318,7.735436112036418e-05,0.6815296073401234
4 (5).jpg,0.024456587174665898,0.36039527318391024,7.857399123103057,715816960.9999758,5592321.000002195,0.024456587174665898,0.39700260571098916,0.020126962183851745,0.3377007268696464,7.980696221086543,715816960.9999915,5592321.000002177,0.020126962183851745,0.3867704844247958,0.02362223021866142,0.3553654443101842,7.880485180471459,715816961.0003225,5592321.0000019055,0.02362223021866142,0.37870875943532645,0.02012999816682336,0.3372825722962409,7.985660347460563,715816960.9999914,5592321.0000022035,0.02012999816682336,0.389796861932918
4 (6).jpg,0.00689034984752838,0.40836235719070896,7.535867370365639,383368260.9999918,3501081.0000009127,0.00689034984752838,0.9131692596913827,0.005403782423614142,0.37580298387971933,7.6643823804928415,383368261.00008124,3501081.0000004596,0.005403782423614142,0.8838283343177147,0.006543963824798812,0.4090425063276998,7.516048855256686,383368260.9999841,3501081.000000686,0.006543963824798812,0.9233233800696397,0.005346128226162413,0.3699804103092877,7.723918785003866,383368261.00007623,3501081.00000042,0.005346128226162413,0.8438628398146577
4 (7).jpg,0.0011556302502824902,0.3218952500918904,8.779895787348348,715816960.9999728,5592320.999999224,0.0011556302502824902,0.8167404252631181,0.0008531847920011055,0.27827430277221826,9.007430642770089,715816961.0001351,5592321.000001218,0.0008531847920011055,0.6966891156186797,0.0013272089337615384,0.33836114784741017,8.723292183128038,715816960.9999852,5592320.99999918,0.0013272089337615384,0.8224647027856478,0.0008455026246980104,0.27816783483558677,9.000123753942615,715816961.0001352,5592321.000001261,0.0008455026246980104,0.7062606005987251
4 (8).jpg,0.003450038963359358,0.3379105091137727,8.592299920418888,715816961.0000507,5592320.999999162,0.003450038963359358,0.9154116465531184,0.0026831287430637498,0.30456330300215695,8.788337188216031,715816960.9999508,5592321.000003969,0.0026831287430637498,0.8655805527822369,0.003906494382442219,0.35202046360189443,8.527444135208963,715816961.0001353,5592320.999999457,0.003906494382442219,0.921362742553495,0.0026868420752683077,0.30381654516073814,8.795961362766212,715816960.9999584,5592321.000004017,0.0026868420752683077,0.8618397613470489
4 (9).jpg,0.0069431678440823,0.3562975347137396,7.730981578140008,362789280.99991035,3359161.0000002487,0.0069431678440823,0.8731698808578537,0.005260293518572345,0.31214933625933916,7.94585786234316,362789280.9999613,3359160.9999990873,0.005260293518572345,0.7550668067443701,0.006283727733427743,0.33456001721807693,7.822141462317052,362789280.9999104,3359161.0000000144,0.006283727733427743,0.828690595882829,0.005331022071848412,0.31308952195027917,7.945295480758756,362789280.99995947,3359160.999999064,0.005331022071848412,0.7528673714699694
5 (1).jpg,0.0002054841342720596,0.15245825424848006,8.957554423730434,715816960.9999496,5592321.000000449,0.0002054841342720596,0.7983449192888972,0.00017769696961364843,0.12543002533090994,9.045397220494687,715816961.0000839,5592320.999999334,0.00017769696961364843,0.6770057696618205,0.0002021069278645496,0.1450429633813915,8.962437075850193,715816960.9999518,5592321.000000438,0.0002021069278645496,0.7880268347417289,0.0001736057596158044,0.12486909687456976,9.057478602013338,715816961.0000834,5592320.999999297,0.0001736057596158044,0.6971934525905216
